Number of Entries,Time Taken to Sort,
,1,2,3,4,5
20,16996,13191,12661,12593,12976
50,65427,62578,62621,62518,62166
100,213259,193592,187057,628053,218441
200,182512,188260,170560,172326,178131
500,2581708,3121404,2981901,3003341,2870145
1K,10162749,9057945,9476427,13659828,9802659
2K,11586089,10216862,10491503,11948933,11656313
5K,7418862,4549694,4555997,5233884,6144167
10K,11634362,8401726,11429885,9411229,8780362
20K,6463770285,6503969218,6512207320,6402198168,6358204741
50K,6572240240,5663312987,5936749289,5537673172,5667786790
100K,140244161434,142385257807,143847947135,144629704241,144923419374
