Number of Entries,Time Taken to Sort,,,,,Average
,1,2,3,4,5
20,1456142,8093,8276,7993,8357
50,35976,36834,36057,35362,36015
100,105892,104511,104544,105512,104553
200,102425,102342,102614,99268,100409
500,1083744,1090281,1091077,1091598,1086898
1K,3868228,3878179,3870040,3868378,3855006
2K,4884536,4885805,4904896,4900473,4906854
5K,2408752,2398724,2385497,2405593,2475368
10K,4458001,4407953,4529149,4424079,4225675
20K,4128102239,4134673274,4132542599,4127177704,4131841715
50K,2920143475,2715761775,2666628568,2661396241,2651796376
100K,49252214464,58315207819,52025142246,55859204985,60174523079
200K,69683811107,70680818252,76023683910,73271675998,72060355605
500K,38169735751,38905773171,38977348309,39000003012,39263938073
